Store,Dept,Date,Weekly_Sales,IsHoliday_x,year,month,week,day,day_of_week,lag_1,lag_2,rolling_mean,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday_y,Type,Size,lag_7,lag_14,rolling_mean_7,rolling_std_7
20,75,2012-10-19,91.7,False,2012,10,42,19,4,147.14,494.54,13772.532499999976,56.26,3.969,4174.31,48.46,15.84,838.05,3838.56,216.1464699,7.293,False,0,203742.0,59.04,25664.42,143.52000000000007,14236.207500170143
40,1,2012-10-19,49272.79,False,2012,10,42,19,4,50735.34,1584.29,14674.979999999989,46.33,4.0,412.06,48.46,6.1,38.76,2850.1,138.8336129,4.145,False,0,155083.0,52799.71,1489.24,50727.7,17267.064249616164
31,19,2012-10-19,4321.5,False,2012,10,42,19,4,3983.94,22375.04,14461.849999999979,68.52,3.594,2432.45,48.46,14.89,1202.44,9394.54,223.0598077,6.17,False,0,203750.0,3737.14,6239.78,4269.0599999999995,12576.25150174324
40,0,2012-10-19,31650.28,False,2012,10,42,19,4,29469.49,10137.51,33614.60499999999,46.33,4.0,412.06,48.46,6.1,38.76,2850.1,138.8336129,4.145,False,0,155083.0,21018.21,6217.51,24884.955714285716,19642.803473369597
39,79,2012-10-19,8373.59,False,2012,10,42,19,4,8561.06,54608.87,20562.41499999999,71.45,3.594,2139.7,48.46,1.6,99.01,11831.06,222.0951719,6.228,False,0,184109.0,7721.72,19813.87,8009.58142857143,16851.8722544868
31,25,2012-10-19,2108.27,False,2012,10,42,19,4,2150.45,6601.5,9129.154999999984,68.52,3.594,2432.45,48.46,14.89,1202.44,9394.54,223.0598077,6.17,False,0,203750.0,781.45,45630.58,1480.0271428571427,10353.641471578629
31,21,2012-10-19,19376.35,False,2012,10,42,19,4,23693.78,21873.41,10991.759999999977,68.52,3.594,2432.45,48.46,14.89,1202.44,9394.54,223.0598077,6.17,False,0,203750.0,16811.04,1247.56,19052.44857142857,11493.145933158006
39,78,2012-10-19,15849.89,False,2012,10,42,19,4,16910.37,9544.78,14489.124999999989,71.45,3.594,2139.7,48.46,1.6,99.01,11831.06,222.0951719,6.228,False,0,184109.0,18668.73,64746.44,17776.719999999998,11681.162769883047
31,22,2012-10-19,5803.27,False,2012,10,42,19,4,6744.64,24641.14,8924.169999999978,68.52,3.594,2432.45,48.46,14.89,1202.44,9394.54,223.0598077,6.17,False,0,203750.0,3621.89,25393.73,4520.645714285714,8127.013124173729
31,23,2012-10-19,7585.33,False,2012,10,42,19,4,8022.12,1247.11,4978.352499999978,68.52,3.594,2432.45,48.46,14.89,1202.44,9394.54,223.0598077,6.17,False,0,203750.0,6745.47,13042.36,7320.53,7904.742775267664
39,77,2012-10-19,13053.75,False,2012,10,42,19,4,14960.94,6726.67,14884.23749999999,71.45,3.594,2139.7,48.46,1.6,99.01,11831.06,222.0951719,6.228,False,0,184109.0,19583.2,33428.14,14801.927142857141,15899.440285773215
31,24,2012-10-19,7032.29,False,2012,10,42,19,4,7920.18,19376.35,7400.439999999976,68.52,3.594,2432.45,48.46,14.89,1202.44,9394.54,223.0598077,6.17,False,0,203750.0,5659.18,9617.42,6616.582857142857,8816.7858483661
39,76,2012-10-19,59278.67,False,2012,10,42,19,4,66124.19,1489.24,33530.35749999999,71.45,3.594,2139.7,48.46,1.6,99.01,11831.06,222.0951719,6.228,False,0,184109.0,72622.86,15849.89,67367.20857142856,24322.01833502683
40,21,2012-10-19,20089.03,False,2012,10,42,19,4,24812.68,54216.34,22428.994999999984,46.33,4.0,412.06,48.46,6.1,38.76,2850.1,138.8336129,4.145,False,0,155083.0,18221.91,41380.6,19518.955714285716,25920.855203649604
31,18,2012-10-19,4569.89,False,2012,10,42,19,4,4688.38,5803.27,3441.022499999978,68.52,3.594,2432.45,48.46,14.89,1202.44,9394.54,223.0598077,6.17,False,0,203750.0,5325.44,1865.49,5222.148571428572,8820.574409123856
40,22,2012-10-19,5051.3,False,2012,10,42,19,4,7700.35,458.89,6835.024999999986,46.33,4.0,412.06,48.46,6.1,38.76,2850.1,138.8336129,4.145,False,0,155083.0,4692.75,17654.74,5331.712857142857,8240.491572304352
30,39,2012-10-19,1999.77,False,2012,10,42,19,4,1413.24,5930.21,34766.17749999999,68.52,3.594,37.11,48.46,0.15,640.64,1030.33,223.0598077,6.17,False,2,42988.0,1802.14,9148.91,1664.74,37560.52086089325
30,28,2012-10-19,3053.87,False,2012,10,42,19,4,2261.82,49761.38,17640.794999999976,68.52,3.594,37.11,48.46,0.15,775.96,1030.33,223.0598077,6.17,False,2,42988.0,2846.3,12569.97,2590.672857142857,17962.83178923355
40,53,2012-10-19,777.62,False,2012,10,42,19,4,755.82,459.0,11658.432499999986,46.33,4.0,412.06,48.46,6.1,38.76,2850.1,138.8336129,4.145,False,0,155083.0,3097.87,38.92,1811.6985714285713,10328.889461779952
30,29,2012-10-19,2328.66,False,2012,10,42,19,4,2699.9,36223.7,11345.184999999976,68.52,3.594,37.11,48.46,0.15,129.04,1030.33,223.0598077,6.17,False,2,42988.0,7022.93,21580.65,2256.4757142857143,12650.97164924826
40,52,2012-10-19,5797.49,False,2012,10,42,19,4,6693.11,9247.59,4385.949999999985,46.33,4.0,412.06,48.46,6.1,38.76,2850.1,138.8336129,4.145,False,0,155083.0,7706.65,2111.13,6055.391428571429,4901.235229838674
30,30,2012-10-19,5701.4,False,2012,10,42,19,4,4533.55,2700.66,7067.749999999978,68.52,3.594,37.11,48.46,0.15,775.96,1030.33,223.0598077,6.17,False,2,42988.0,4594.43,28856.34,4976.861428571428,14371.998592277847
30,31,2012-10-19,4284.1,False,2012,10,42,19,4,6346.83,44711.18,18678.79249999998,68.52,3.594,37.11,48.46,0.15,775.96,1030.33,223.0598077,6.17,False,2,42988.0,7017.27,28133.28,4268.135714285714,13751.875609206147
40,51,2012-10-19,38.92,False,2012,10,42,19,4,10.0,180.0,2940.1274999999855,46.33,4.0,412.06,48.46,6.1,38.76,2850.1,138.8336129,4.145,False,0,155083.0,74.34,1.0,33.44,3653.4913482619104
30,32,2012-10-19,12569.97,False,2012,10,42,19,4,14494.24,19936.24,15276.474999999979,68.52,3.594,37.11,48.46,0.15,129.04,1030.33,223.0598077,6.17,False,2,42988.0,12176.52,120.0,12515.954285714284,8223.384309826697
40,50,2012-10-19,2436.51,False,2012,10,42,19,4,2587.26,13156.35,19732.484999999986,46.33,4.0,412.06,48.46,6.1,38.76,2850.1,138.8336129,4.145,False,0,155083.0,1966.84,4057.92,2301.152857142857,21965.51770009044
30,33,2012-10-19,1433.38,False,2012,10,42,19,4,1646.7,2428.52,5007.2999999999765,68.52,3.594,37.11,48.46,0.15,129.04,1030.33,223.0598077,6.17,False,2,42988.0,1871.71,15584.84,1542.3314285714284,7403.314235162468
40,47,2012-10-19,7086.65,False,2012,10,42,19,4,10391.53,8549.4,4314.959999999988,46.33,4.0,412.06,48.46,6.1,38.76,2850.1,138.8336129,4.145,False,0,155083.0,7064.15,1601.57,7146.211428571429,5193.681227151085
30,34,2012-10-19,558.62,False,2012,10,42,19,4,1134.09,36.0,17477.319999999978,68.52,3.594,37.11,48.46,0.15,775.96,1030.33,223.0598077,6.17,False,2,42988.0,116.0,243.0,412.01714285714286,23551.896312866207
38,66,2012-10-19,19970.9,False,2012,10,42,19,4,19917.98,2211.58,7522.26249999999,68.66,4.449,314.73,48.46,9.24,459.34,388.28,131.1499677,10.199,False,2,39690.0,22696.61,6374.51,20425.808571428573,7164.16951199031
30,35,2012-10-19,2027.33,False,2012,10,42,19,4,2233.16,72369.66,23071.88499999998,68.52,3.594,37.11,48.46,0.15,640.64,1030.33,223.0598077,6.17,False,2,42988.0,2728.32,1126.98,2335.0685714285714,25867.94016364807
40,2,2012-10-19,11299.11,False,2012,10,42,19,4,12506.41,331.79,6007.099999999986,46.33,4.0,412.06,48.46,6.1,38.76,2850.1,138.8336129,4.145,False,0,155083.0,23534.79,94432.15,13183.144285714285,4378.936897076665
40,3,2012-10-19,33107.99,False,2012,10,42,19,4,33809.53,19270.15,26471.04749999999,46.33,4.0,412.06,48.46,6.1,38.76,2850.1,138.8336129,4.145,False,0,155083.0,34464.05,6370.0,33395.72571428572,19312.871202944854
31,0,2012-10-19,30845.99,False,2012,10,42,19,4,28251.19,54256.83,38212.62749999998,68.52,3.594,2432.45,48.46,14.89,1202.44,9394.54,223.0598077,6.17,False,0,203750.0,18627.42,11272.87,23886.54,23558.128338448227
40,14,2012-10-19,4885.05,False,2012,10,42,19,4,5091.65,155.34,5949.847499999991,46.33,4.0,412.06,48.46,6.1,38.76,2850.1,138.8336129,4.145,False,0,155083.0,12165.41,4116.45,8048.944285714286,10002.238569073543
31,1,2012-10-19,54256.83,False,2012,10,42,19,4,52081.97,16150.25,25316.57499999998,68.52,3.594,2432.45,48.46,14.89,1202.44,9394.54,223.0598077,6.17,False,0,203750.0,53539.47,104460.17,52030.974285714285,28507.0378717378
31,14,2012-10-19,3566.12,False,2012,10,42,19,4,3669.51,6408.9,16934.899999999976,68.52,3.594,2432.45,48.46,14.89,1202.44,9394.54,223.0598077,6.17,False,0,203750.0,12150.07,2244.71,7580.3099999999995,18973.690659956126
